,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,24,97,66,11,136,0.6980140805244446,0.2388397753238678,0.06206603720784187,0.00036462131538428366,0.00031919614411890507
1,71,164,138,55,195,0.22117292881011963,0.192303866147995,0.08689980953931808,0.07787300646305084,0.07032531499862671
2,136,112,198,113,64,0.4499036371707916,0.4195042550563812,0.051945220679044724,0.03219213709235191,0.010330150835216045
3,138,154,195,70,57,0.6131393313407898,0.1576281636953354,0.04673042148351669,0.028700295835733414,0.021854136139154434
4,91,71,5,195,167,0.17701338231563568,0.17386162281036377,0.1427689641714096,0.08134639263153076,0.05291614681482315
5,97,24,66,136,112,0.5055597424507141,0.4543587267398834,0.017844010144472122,0.006411670707166195,0.005090045742690563
6,64,112,136,23,198,0.24187226593494415,0.23813870549201965,0.1288781464099884,0.057017773389816284,0.05072328448295593
7,111,47,163,128,90,0.16204512119293213,0.1402023583650589,0.11257358640432358,0.10232201963663101,0.09462761133909225
8,167,109,110,108,97,0.36094415187835693,0.1582883596420288,0.10936301946640015,0.09775499254465103,0.030657276511192322
9,112,136,24,127,97,0.41831985116004944,0.3861105144023895,0.07728932797908783,0.05503316968679428,0.03521338477730751
10,24,97,66,11,127,0.892482578754425,0.08606233447790146,0.012391969561576843,0.006016088649630547,0.0010362740140408278
11,87,94,120,95,110,0.16707061231136322,0.16177551448345184,0.12896206974983215,0.11709177494049072,0.05124099180102348
12,24,97,66,95,45,0.5893443822860718,0.27881884574890137,0.12439193576574326,0.003219199599698186,0.0012576414737850428
13,112,136,97,24,113,0.43242424726486206,0.3717770278453827,0.05093245580792427,0.043291036039590836,0.03033515438437462
14,87,94,120,95,110,0.16707061231136322,0.16177551448345184,0.12896206974983215,0.11709177494049072,0.05124099180102348
15,24,93,66,11,136,0.28978773951530457,0.15750563144683838,0.11897200345993042,0.09248338639736176,0.061942119151353836
16,97,24,66,112,136,0.6286369562149048,0.346239298582077,0.014448599889874458,0.00422873068600893,0.0030643227510154247
17,24,97,112,136,66,0.374979704618454,0.2632206082344055,0.1358524113893509,0.12229175865650177,0.05333351343870163
18,112,136,198,113,24,0.5475174784660339,0.37661874294281006,0.04837215691804886,0.006828580982983112,0.0035649172496050596
19,24,97,167,109,64,0.4926348626613617,0.21108034253120422,0.08739669620990753,0.03568008169531822,0.031795378774404526
20,112,136,109,198,108,0.46275272965431213,0.4279237687587738,0.016223900020122528,0.015849193558096886,0.015219028107821941
21,24,66,97,93,45,0.7828325629234314,0.09200277924537659,0.04695143550634384,0.027471667155623436,0.010475767776370049
22,108,109,84,134,20,0.4819865822792053,0.3853749632835388,0.07470071315765381,0.014099091291427612,0.011061427183449268
23,24,97,66,11,95,0.7179962396621704,0.2462710589170456,0.0329158678650856,0.001331899082288146,0.0007882329518906772
24,24,97,11,66,95,0.6517955660820007,0.30555158853530884,0.01444842480123043,0.014437953941524029,0.0101461261510849
25,32,130,13,56,115,0.19310221076011658,0.16391298174858093,0.16051970422267914,0.11129917949438095,0.09762702882289886
26,24,97,66,112,136,0.6379229426383972,0.3392351269721985,0.009201680310070515,0.00527314143255353,0.0037405933253467083
27,24,97,127,11,66,0.856277346611023,0.08383290469646454,0.02882133051753044,0.016302024945616722,0.013059904798865318
28,64,70,195,136,112,0.31648486852645874,0.1379428207874298,0.13591669499874115,0.11654283851385117,0.09993509948253632
29,171,184,170,122,130,0.1665823608636856,0.12358029186725616,0.0884324312210083,0.07108820974826813,0.05849495530128479
30,64,70,51,152,136,0.6183874607086182,0.22486719489097595,0.025899242609739304,0.021833721548318863,0.01945490948855877
31,164,71,138,204,55,0.22506828606128693,0.2046291083097458,0.13510176539421082,0.12743525207042694,0.062340401113033295
